,year,state_short,state_long,indicator,value
1303,1985,IA,Iowa,Elementary Total,987
1304,1985,IA,Iowa,Masters Total,641
1305,1985,IA,Iowa,Other Total,1234
1306,1985,IA,Iowa,PhD Total,120
1307,1985,IA,Iowa,SPED Total,196
1308,1985,IA,Iowa,State Total,2583
1309,1985,IA,Iowa,STEM Total,166
1323,1985,ID,Idaho,Bachelor Total,478
1324,1985,ID,Idaho,Elementary Total,265
1325,1985,ID,Idaho,Masters Total,231
1326,1985,ID,Idaho,Other Total,351
1327,1985,ID,Idaho,PhD Total,16
1328,1985,ID,Idaho,SPED Total,38
1329,1985,ID,Idaho,State Total,725
1330,1985,ID,Idaho,STEM Total,71
1344,1985,IL,Illinois,Bachelor Total,4530
1345,1985,IL,Illinois,Elementary Total,2088
1346,1985,IL,Illinois,Masters Total,3373
1347,1985,IL,Illinois,Other Total,4130
1348,1985,IL,Illinois,PhD Total,357
1349,1985,IL,Illinois,SPED Total,1194
1350,1985,IL,Illinois,State Total,8260
1351,1985,IL,Illinois,STEM Total,848
1365,1985,IN,Indiana,Bachelor Total,2310
1366,1985,IN,Indiana,Elementary Total,1854
1367,1985,IN,Indiana,Masters Total,2290
1368,1985,IN,Indiana,Other Total,2253
1369,1985,IN,Indiana,PhD Total,195
1370,1985,IN,Indiana,SPED Total,388
1371,1985,IN,Indiana,State Total,4795
1372,1985,IN,Indiana,STEM Total,300
1386,1985,KS,Kansas,Bachelor Total,1580
1387,1985,KS,Kansas,Elementary Total,1013
1388,1985,KS,Kansas,Masters Total,1041
1389,1985,KS,Kansas,Other Total,1443
1390,1985,KS,Kansas,PhD Total,131
1391,1985,KS,Kansas,SPED Total,171
1392,1985,KS,Kansas,State Total,2752
1393,1985,KS,Kansas,STEM Total,125
1407,1985,KY,Kentucky,Bachelor Total,1528
1408,1985,KY,Kentucky,Elementary Total,1326
1409,1985,KY,Kentucky,Masters Total,1563
1410,1985,KY,Kentucky,Other Total,1285
1411,1985,KY,Kentucky,PhD Total,23
1412,1985,KY,Kentucky,SPED Total,336
1413,1985,KY,Kentucky,State Total,3114
1414,1985,KY,Kentucky,STEM Total,167
1428,1985,LA,Louisiana,Bachelor Total,1778
1429,1985,LA,Louisiana,Elementary Total,1068
1430,1985,LA,Louisiana,Masters Total,1474
1431,1985,LA,Louisiana,Other Total,1736
1432,1985,LA,Louisiana,PhD Total,36
1433,1985,LA,Louisiana,SPED Total,325
1434,1985,LA,Louisiana,State Total,3288
1435,1985,LA,Louisiana,STEM Total,159
1449,1985,MA,Massachusetts,Bachelor Total,1833
1450,1985,MA,Massachusetts,Elementary Total,786
1451,1985,MA,Massachusetts,Masters Total,2599
1452,1985,MA,Massachusetts,Other Total,3142
1453,1985,MA,Massachusetts,PhD Total,280
1454,1985,MA,Massachusetts,SPED Total,598
1455,1985,MA,Massachusetts,State Total,4712
1456,1985,MA,Massachusetts,STEM Total,186
1470,1985,MD,Maryland,Bachelor Total,785
1471,1985,MD,Maryland,Elementary Total,459
1472,1985,MD,Maryland,Masters Total,991
1473,1985,MD,Maryland,Other Total,1046
1474,1985,MD,Maryland,PhD Total,112
1475,1985,MD,Maryland,SPED Total,252
1476,1985,MD,Maryland,State Total,1888
1477,1985,MD,Maryland,STEM Total,131
1491,1985,ME,Maine,Bachelor Total,593
1492,1985,ME,Maine,Elementary Total,162
1493,1985,ME,Maine,Masters Total,238
1494,1985,ME,Maine,Other Total,550
1495,1985,ME,Maine,PhD Total,4
1496,1985,ME,Maine,SPED Total,78
1497,1985,ME,Maine,State Total,835
1498,1985,ME,Maine,STEM Total,45
1512,1985,MI,Michigan,Bachelor Total,2189
1513,1985,MI,Michigan,Elementary Total,1048
1514,1985,MI,Michigan,Masters Total,2847
1515,1985,MI,Michigan,Other Total,3010
1516,1985,MI,Michigan,PhD Total,307
1517,1985,MI,Michigan,SPED Total,950
1518,1985,MI,Michigan,State Total,5343
1519,1985,MI,Michigan,STEM Total,335
1533,1985,MN,Minnesota,Bachelor Total,2424
1534,1985,MN,Minnesota,Elementary Total,1359
1535,1985,MN,Minnesota,Masters Total,922
1536,1985,MN,Minnesota,Other Total,1495
1537,1985,MN,Minnesota,PhD Total,56
1538,1985,MN,Minnesota,SPED Total,272
1539,1985,MN,Minnesota,State Total,3402
1540,1985,MN,Minnesota,STEM Total,276
1554,1985,MO,Missouri,Bachelor Total,2708
1555,1985,MO,Missouri,Elementary Total,1352
1556,1985,MO,Missouri,Masters Total,1885
1557,1985,MO,Missouri,Other Total,2716
1558,1985,MO,Missouri,PhD Total,159
1559,1985,MO,Missouri,SPED Total,388
1560,1985,MO,Missouri,State Total,4752
1561,1985,MO,Missouri,STEM Total,296
1575,1985,MS,Mississippi,Bachelor Total,1309
1576,1985,MS,Mississippi,Elementary Total,617
1577,1985,MS,Mississippi,Masters Total,954
1578,1985,MS,Mississippi,Other Total,1335
1579,1985,MS,Mississippi,PhD Total,86
1580,1985,MS,Mississippi,SPED Total,212
1581,1985,MS,Mississippi,State Total,2349
1582,1985,MS,Mississippi,STEM Total,185
1596,1985,MT,Montana,Bachelor Total,643
1597,1985,MT,Montana,Elementary Total,332
1598,1985,MT,Montana,Masters Total,308
1599,1985,MT,Montana,Other Total,535
1600,1985,MT,Montana,PhD Total,15
1601,1985,MT,Montana,SPED Total,30
1602,1985,MT,Montana,State Total,966
1603,1985,MT,Montana,STEM Total,69
